rmax	E	rmin	E	acc=eps	E
1	2.36769940932052	0.0625	-0.500471494524418	1	-0.505661662062022
2	-0.126923283916561	0.125	-0.503581560305734	2	-0.509783683315774
3	-0.424718947279232	0.1875	-0.51195659787551	3	-0.513657480080217
4	-0.483694064920094	0.25	-0.528884093783987	4	-0.515227227686322
5	-0.496856348572828	0.3125	-0.55940058024584	5	-0.518103024027919
6	-0.499731547567799	0.375	-0.612113353859394	6	-0.520153952017986
7	-0.500330478162902	0.4375	-0.702583921016139	7	-0.521958547040422
8	-0.500446638804761	0.5	-0.13939526047895	8	-0.523544099134351
9	-0.500467897411378	0.5625	-0.148183871422416	9	-0.524907870732171
